query-id,text
MI3_240729_TY2_0183_2_V02-1_1,연령별 인구차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0183_2_V02-8_1,일별 사망자 현황(혼합형)에 대해 알려주세요
MI3_240729_TY2_0183_3_V01_1,주차 확진자수(명) 여행국 차트에 대해 알려주세요
MI3_240729_TY2_0184_5_V02-1_1,일일 신규확진자 현황 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0184_5_V02-1_2,일일 누적확진자 현황 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0205_1_V02-4_1,붙임1 코로나19 국내 발생 현황 꺾은선형 차트에 대해 알려주세요
MI3_240729_TY2_0205_3_V02-8_1,서울지역 확진자 현황 혼합형에 대해 알려주세요
MI3_240729_TY2_0205_3_V02-8_2,경기지역 확진자 현황 혼합형에 대해 알려주세요
MI3_240729_TY2_0205_4_V02-1_2,일일 누적확진자 현황 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0205_6_V01_1,해외유입 추정 현황(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0234_2_V02-8_1,대구지역 일일신규 및 누적 확진자 현황 혼합형에 대해 알려주세요
MI3_240729_TY2_0234_3_V02-8_2,경기지역 일일 신규 및 누적 확진자 현황 혼합형에 대해 알려주세요
MI3_240729_TY2_0234_4_V02-1_2,일일 누적확진자 현황 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0268_2_V01_1,확진자와 관련된 경남권 구분 표에 대해 알려주세요
MI3_240729_TY2_0268_2_V01_2,확진자와 관련된 강원권 구분 표에 대해 알려주세요
MI3_240729_TY2_0268_3_V02-8_1,격리치료기간 중 PCR검사 Ct값 분포 양상의 유사성과 관련된 혼합형 차트에 대해 알려주세요
MI3_240729_TY2_0269_2_V02-8_2,"당뇨병 진단 경험률, 당뇨병 진단경험자의 치료율 추이 혼합형에 대해 알려주세요"
MI3_240729_TY2_0278_2_V01_1,월별 수인성・식품매개감염병 집단 발생 현황의 월별 발생현황 표에 대해 알려주세요
MI3_240729_TY2_0290_5_V02-3_1,감염경로 중 해외유입 차트(원형)에 대해 알려주세요
MI3_240729_TY2_0291_3_V02-2_1,손상 부위별 현황 가로 막대형에 대해 알려주세요
MI3_240729_TY2_0315_1_V01_1,홍역 바이러스 감염에 의한 급성 발열성 발진성 질환의 주요증상 및 임상경과에 대해 알려주세요
MI3_240729_TY2_0328_1_V02-4_1,60세 이상 주차별 4차접종 인구 및 대상자 대비 접종률 차트(꺾은선형)에 대해 알려주세요
MI3_240729_TY2_0328_6_V02-2_1,코로나19 예방접종 10만 건당 자주 신고된 이상반응의 비율에 대해 알려주세요
MI3_240729_TY2_0360_2_V01_2,장기이식대기자 및 기증자 현황 표에 대해 알려주세요
MI3_240729_TY2_0375_2_V02-1_1,2052년과 2022년 중위연령에 대한 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0375_7_V02-5_3,남자와 여자 비율에 관한 차트(영역형)에 대해 알려주세요
MI3_240729_TY2_0375_7_V02-5_9,[남자 여자 비율]과 관련된 추세를 보여주는 차트에 대해 알려주세요
MI3_240729_TY2_0412_3_V02-1_1,연도별 원양어업 생산량에 대해서 알려줘
MI3_240729_TY2_0418_4_V02-1_1,충청남도 시군별 고용률 및 실업률 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0418_7_V02-1_1,< 근무지기준과 거주지기준 취업자수 차이 상위 10개 지역 > 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0427_3_V02-4_1,전산업생산지수(전원비) 꺾은선형에 대해 알려주세요
MI3_240729_TY2_0427_3_V02-8_1,전혈비 이동평균비 혼합형에 대해 알려주세요
MI3_240729_TY2_0427_4_V02-1_1,<제조업 재고/출하 비율> 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0445_1_V02-4_1,"2012년 보리, 마늘 생산량 조사결과 차트(꺾은선형)에 대해 알려주세요"
MI3_240729_TY2_0454_2_V02-7_1,체류자격별 외국인 취업자수 차트(방사형)에 대해 알려주세요
MI3_240729_TY2_0454_3_V02-2_1,지역별 외국인 고용률 차트(가로 막대형)에 대해 알려주세요
MI3_240729_TY2_0454_5_V02-7_1,외국인 취업자의 직업별 분포 차트(방사형)에 대해 알려주세요
MI3_240729_TY2_0458_4_V02-1_1,연령별 환자수 추이에 대한 차트에 대해 알려주세요
MI3_240729_TY2_0471_2_V01_1,인플루엔자 의사환자 분율 표에 대해 알려주세요
MI3_240729_TY2_0479_3_V02-8_2,경북지역 일일 신규 및 누적 확진자 현황 혼합형에 대해 알려주세요
MI3_240729_TY2_0479_5_V02-1_1,일일 신규확진자 현황 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0479_8_V02-1_1,해외유입 추정 현황에 대해 알려주세요
MI3_240729_TY2_0492_1_V02-4_1,일일 신규 확진·격리 해제자 현황 꺾은선형 차트에 대해 알려주세요
MI3_240729_TY2_0492_1_V02-8_1,일일 누적 격리중·격리 해제자 현황 혼합형 차트에 대해 알려주세요
MI3_240729_TY2_0492_5_V02-8_1,사망지수 혼합형 차트에 대해 알려주세요
MI3_240729_TY2_0492_6_V02-8_1,일별 사망자 현황 혼합형에 대해 알려주세요
MI3_240729_TY2_0506_1_V02-8_1,"10,000 격리해제 확진 격려증 혼합형 차트에 대해 알려주세요"
MI3_240729_TY2_0506_3_V02-8_2,경기지역 일일 신규 및 누적 확진자 현황 혼합형에 대해 알려주세요
MI3_240729_TY2_0506_4_V02-1_1,일별 신규 확진자 현황 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0512_1_V02-8_1,I. 2010년 혼인·이혼통계 요약 혼합형 차트에 대해 알려주세요
MI3_240729_TY2_0512_1_V02-8_2,I. 2010년 혼인·이혼통계 요약 혼합형 차트에 대해 알려주세요
MI3_240729_TY2_0512_3_V01_1,혼인종류별 건수 및 구성비 표에 대해 알려주세요
MI3_240729_TY2_0519_2_V02-8_1,"이동자수와 이동률 추이, 1970-2010 혼합형에 대해 알려주세요"
MI3_240729_TY2_0532_1_V02-8_1,연도별 벼 재배면적및 쌀 생산량 추이 혼합형에 대해 알려주세요
MI3_240729_TY2_0532_3_V02-1_1,전년대비 도별 생산량 비교 세로 막대형에 대해 알려주세요
MI3_240729_TY2_0535_1_V01_2,"(단위: 십억원, %) 전자상거래 총 거래액 차트에 대해 알려주세요"
MI3_240729_TY2_0535_6_V02-8_1,사이버쇼핑거래떡 + 전년동분기비 차트(혼합형)에 대해 알려주세요
MI3_240729_TY2_0548_1_V02-1_2,건강평가 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0555_4_V01_2,전국 이혼건수 및 증감률에 대해 알려주세요
MI3_240729_TY2_0570_1_V01_2,2월 인구이동 전년동월대비 시각요소 타입에 대해 알려주세요
MI3_240729_TY2_0570_2_V02-4_1,[그림 1] 전국 월별 이동자 추이에 대해 알려주세요
MI3_240729_TY2_0570_3_V01_1,[표 2] 2011년 2월 시도별 이동자수 및이동률 표에 대해 알려주세요
MI3_240729_TY2_0570_3_V02-1_1,[그림 2] 2011년 2월 시도별 순이동률 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0621_7_V02-8_1,사이버쇼핑 거래액 및 전년동분기비 차트(혼합형)에 대해 알려주세요
MI3_240729_TY2_0624_6_V02-1_1,< 이혼·재혼 건수 (65세이상) > 차트(세로 막대형)에 대해 알려주세요
MI3_240729_TY2_0632_3_V02-4_1,[그림 3] 전국 월별 혼인 추이 차트(꺾은선형)에 대해 알려주세요
MI3_240729_TY2_0633_4_V02-1_2,근무지기준과 거주지기준에 대한 차트(세로 막대형) -1에 대해 알려주세요
MI3_240730_TY2_0011_1_V01_1,2009년 소비재 수입 동향 표에 대해 알려주세요
MI3_240730_TY2_0062_1_V01_1,기관 연락처 목록 표에 대해 알려주세요
MI3_240730_TY2_0139_2_V01_2,"지역별 격리 중, 격리해제, 사망자 현황 표에 대해 알려주세요"
MI3_240730_TY2_0156_1_V01_2,국내외 홍역 발생 현황 중 집단 발생과 개별 사례에 대한 표에 대해 알려주세요
MI3_240730_TY2_0156_2_V01_1,T04에 대해 알려주세요
MI3_240730_TY2_0193_1_V02-1_1,확진 환자 관련 기본 통계 차트(세로 막대형)에 대해 알려주세요
MI3_240730_TY2_0193_1_V02-3_1,< 확진자 외국 방문 여부 > 차트(원형)에 대해 알려주세요
MI3_240730_TY2_0193_2_V01_2,중국 성・시별 발생현황 차트에 대해 알려주세요
MI3_240731_TY2_0020_6_V01_2,주간 이상반응 신고 현황 표에 대해 알려주세요
MI3_240731_TY2_0028_1_V01_2,재택치료 현원 및 신규재택치료자에 대한 표에 대해 알려주세요
MI3_240731_TY2_0052_1_V01_1,"확진자 성별, 연령별 현황 차트(세로 막대형)에 대해 알려주세요"
MI3_240731_TY2_0052_1_V02-1_1,작진자수(명) 차트(혼합형)에 대해 알려주세요
MI3_240731_TY2_0052_3_V02-1_1,4 해외유입 추정 현황 차트(세로 막대형)에 대해 알려주세요
MI3_240731_TY2_0068_1_V02-8_1,해외감염병과 병관리본부에 대해 알려주세요
MI3_240731_TY2_0068_3_V02-3_1,최근 2주간 감염경로별 신규환자 발생 현황 원형 차트에 대해 알려주세요
MI3_240731_TY2_0068_4_V01_1,확진자수에 대한 표에 대해 알려주세요
MI3_240731_TY2_0069_1_V01_1,최근 2절기 인플루엔자 의사환자 분율 현황 표에 대해 알려주세요
MI3_240731_TY2_0072_6_V02-8_1,T01 T02 차트(혼합형) V02-8에 대해 알려주세요
MI3_240731_TY2_0075_2_V02-8_1,서울지역 확진자 현황 혼합형에 대해 알려주세요
MI3_240731_TY2_0075_2_V02-8_2,경기지역 확진자 현황 혼합형에 대해 알려주세요
MI3_240731_TY2_0075_4_V02-8_1,사망자수 차트(혼합형)에 대해 알려주세요
MI3_240731_TY2_0075_5_V02-1_1,10만명당 연령별 인구 차트(세로 막대형)에 대해 알려주세요
MI3_240731_TY2_0076_1_V02-8_1,서울지역 확진자 현황 차트(혼합형)에 대해 알려주세요
MI3_240731_TY2_0076_4_V02-1_1,T04에 대해 알려주세요
MI3_240731_TY2_0122_2_V01_1,국내 확진자 수와 고위험군 비율에 대해 알려주세요
MI3_240731_TY2_0158_1_V01_1,코로나19 예방접종 현황 표에 대해 알려주세요
MI3_240731_TY2_0158_2_V01_1,"정부혁신 + 대한민국 대전환 보다나은 정부 한국판뉴딜 건강한 국민, 안전한 사회에 대해 알려주세요"
MI3_240731_TY2_0158_3_V01_2,제주권 주간 일 평균 표에 대해 알려주세요
MI3_240731_TY2_0172_3_V02-8_1,서울지역 일일 신규 및 누적확진자 현황 차트(혼합형)에 대해 알려주세요
MI3_240731_TY2_0230_3_V01_2,C02에 대해 알려주세요
MI3_240731_TY2_0241_2_V02-2_1,2017 515 말리리아 673 가로 막대형 차트에 대해 알려주세요
MI3_240731_TY2_0241_3_V01_1,다양한 복지서비스와 관련된 시각요소 제목 에 대해 알려주세요
MI3_240731_TY2_0264_1_V01_1,결과 양성 구분 총계 검사 중 결과 음성 확진자 격리해제 격리 중 사망에 대해 알려주세요
MI3_240731_TY2_0264_5_V02-8_2,광주지역 확진자 현황 차트(혼합형)에 대해 알려주세요
MI3_240731_TY2_0264_7_V02-4_1,< 감염경로구분에 따른 일별 신규 확진자 현황> 차트(꺾은선형)에 대해 알려주세요
MI3_240731_TY2_0268_3_V01_2,구분 접종자 현황 표에 대해 알려주세요
MI3_240731_TY2_0270_1_V02-4_1,일일 신규 확진·격리 해제자 현황 차트(꺾은선형)에 대해 알려주세요
MI3_240731_TY2_0270_1_V02-8_2,격리해체 및 격리중 현황 차트(혼합형)에 대해 알려주세요
MI3_240731_TY2_0270_3_V02-8_3,경기지역 얼얼신규및누적이진지 현황 혼합형에 대해 알려주세요
MI3_240731_TY2_0270_6_V02-3_1,조사중 87명(13.2%) 선행확진자접촉 해외유입 76명(11.6%) 원형 차트에 대해 알려주세요
MI3_240731_TY2_0270_6_V02-4_1,감염경로구분에 따른 일별 신규 확진자 현황 꺾은선형 차트에 대해 알려주세요
MI3_240731_TY2_0280_6_V01_1,성별·연령별 사망현황 표에 대해 알려주세요
MI3_240731_TY2_0340_2_V01_1,다양한 복지서비스에 대한 시각요소 데이터에 대해 알려주세요
MI3_240731_TY2_0340_2_V01_3,통계청의 익사 사건 통계 데이터에 대해 알려주세요
MI3_240731_TY2_0346_1_V01_2,1차 접종자 제 완료 표에 대해 알려주세요
MI3_240731_TY2_0346_5_V01_1,고3고교직원기타대상 접종률에 대해 알려주세요
MI3_240731_TY2_0346_8_V01_1,"정부혁신 대한민국 대전환 보다나은 정부 건강한 국민, 안전한 사회와 관련하여 접종 후 사망 사례에 대한 표에 대해 알려주세요"
MI3_240731_TY2_0348_5_V02-8_1,12 - 차트(혼합형)에 대해 알려주세요
MI3_240731_TY2_0372_3_V02-4_1,최근 2주간 일별 신규 확진자 꺾은선형 차트에 대해 알려주세요
MI3_240731_TY2_0380_3_V02-8_1,대전지역 일일신규 뒷누적 차트(혼합형)에 대해 알려주세요
MI3_240731_TY2_0380_4_V02-8_1,< 일별 사망자 현황 > 혼합형에 대해 알려주세요
MI3_240731_TY2_0382_2_V01_4,질환별 표에 대해 알려주세요
MI3_240731_TY2_0382_2_V01_6,발생장소별 표에 대해 알려주세요
MI3_240731_TY2_0387_3_V02-1_4,여성 및 남성 대학생 음주 패턴 차트(세로 막대형)에 대해 알려주세요
MI3_240731_TY2_0412_1_V01_1,예약대상 예약에 대해 알려주세요
MI3_240731_TY2_0416_1_V01_1,접종자 현황리 접종률 차트(세로 막대형)에 대해 알려주세요
MI3_240731_TY2_0417_4_V02-8_1,<일별 사망자 현황> 혼합형에 대해 알려주세요
MI3_240731_TY2_0419_3_V02-3_1,지역 집단발생 차트(원형)에 대해 알려주세요
MI3_240731_TY2_0423_2_V01_1,지역별 확진자 현황 표에 대해 알려주세요
MI3_240731_TY2_0423_2_V01_3,"격리 중, 격리해제, 사망자 현황 표에 대해 알려주세요"
MI3_240731_TY2_0423_6_V02-1_2,< 일별 사망자 현황 > 세로 막대형에 대해 알려주세요
MI3_240731_TY2_0423_6_V02-8_1,< 일별 사망자 현황 > 혼합형에 대해 알려주세요
MI3_240731_TY2_0441_4_V02-8_2,"title "" 한빛과 혼합형에 대해 알려주세요"
MI3_240731_TY2_0453_2_V01_1,주간 확진자 수 표에 대해 알려주세요
MI3_240731_TY2_0453_3_V02-3_1,정부혁신과 관련된 최근 감염경로 원형 차트에 대해 알려주세요
MI3_240731_TY2_0454_1_V02-8_1,델타 이전 델타 수새 BA.1우시 BA2 우세 차트(혼합형)에 대해 알려주세요
MI3_240731_TY2_0468_1_V01_2,연간 수출입 동향에 대한 구성을 보여주는 표에 대해 알려주세요
MI3_240731_TY2_0468_2_V02-8_1,2015년 9월 수출입동향 및 무역수지 1 수출 동향 < 월별 수출액 및 증감률 > 혼합형에 대해 알려주세요
MI3_240802_TY2_0008_1_V01_1,주요 레저 용품 수입 동향 표에 대해 알려주세요
MI3_240802_TY2_0099_2_V01_1,구분 표에 대해 알려주세요
MI3_240802_TY2_0100_1_V02-6_1,10대 희소금속 수입단가 및 수입량 변화 차트(분산형)에 대해 알려주세요
MI3_240802_TY2_0100_3_V01_2,희토류에 대한 수입량과 수입단가에 대한 차트에 대해 알려주세요.
MI3_240802_TY2_0100_5_V01_2,티타늄에 대한 수입량과 수입단가에 대한 차트에 대해 알려주세요.
MI3_240802_TY2_0100_7_V02-1_3,크롬에 대한 수입량과 수입단가에 대한 증감률 표에 대해 알려주세요.
MI3_240802_TY2_0111_5_V01_1,품목별 수입 실적 표에 대해 알려주세요
MI3_240802_TY2_0123_3_V02-4_1,수산물 수입가격지수 동향 차트(꺾은선형)에 대해 알려주세요
MI3_240802_TY2_0148_1_V02-1_1,< 무역수지 > 세로 막대형에 대해 알려주세요
MI3_240802_TY2_0164_2_V01_1,실천 과제와 관련된 전자문서 설계에 대해 알려주세요
MI3_240802_TY2_0185_2_V03_1,전자 관세청 다이어그램에 대해 알려주세요
MI3_240802_TY2_0185_2_V03_2,전자 증명서 다이어그램에 대해 알려주세요
MI3_240802_TY2_0205_3_V02-4_2,"에너지 수입 구성비(중량기준,%) 차트(꺾은선형)에 대해 알려주세요"
MI3_240802_TY2_0234_2_V02-3_1,[단속금액 비중('15년)] 차트(원형)에 대해 알려주세요
MI3_240802_TY2_0326_4_V01_2,T01 T02 T03 표에 대해 알려주세요
MI3_240802_TY2_0326_7_V01_1,< 월별 수입액 및 증감률 > 표에 대해 알려주세요
MI3_240802_TY2_0326_9_V02-8_1,< 월별 무역수지·수출액·수입액 추이> 혼합형에 대해 알려주세요
MI3_240802_TY2_0352_2_V01_1,"(단위: 만톤,전년 동월 대비 %) 표에 대해 알려주세요"
MI3_240802_TY2_0352_7_V01_2,< 수입중량 추이> 표에 대해 알려주세요
MI3_240802_TY2_0365_2_V02-8_1,< 월별 수출액 및 증감률 > 혼합형에 대해 알려주세요
MI3_240802_TY2_0365_6_V01_1,수출액 증감률 차트(혼합형)에 대해 알려주세요
MI3_240802_TY2_0365_8_V02-8_1,월별 무역수지 · 수출액·수입액 추이에 대해 알려주세요
MI3_240802_TY2_0368_7_V01_1,제목 소제목 배기량별 평균 수입단가 차트(세로 막대형)에 대해 알려주세요
MI3_240802_TY2_0371_2_V02-8_1,< 월별 수출액 및 증감률 > 혼합형에 대해 알려주세요
MI3_240802_TY2_0371_7_V01_1,원유 수입 추이에 대한 표에 대해 알려주세요
MI3_240802_TY2_0408_6_V01_1,배기량별 가격 현황과 관련된 평균 수출단가 표에 대해 알려주세요
MI3_240802_TY2_0424_3_V01_2,주요 국가별 수출 실적 표에 대해 알려주세요
MI3_240802_TY2_0424_6_V01_1,2007년 9월 무역수지 동향 분석과 관련된 월별 주요 교역국 무역수지 현황 차트에 대해 알려주세요
MI3_240802_TY2_0430_5_V01_1,FTA 수출입 활용률 차트에 대해 알려주세요
MI3_240802_TY2_0433_4_V01_2,"(단위: 억 달러, %) 표에 대해 알려주세요"
MI3_240802_TY2_0446_1_V01_1,2020년 12월 월간 수출입 현황 표에 대해 알려주세요
MI3_240802_TY2_0446_5_V01_3,수출액 증감률 표에 대해 알려주세요
MI3_240802_TY2_0446_7_V01_2,원유 수입 추이에 대해 알려주세요.
MI3_240802_TY2_0457_3_V01_1,대륙별 교역현황 표에 대해 알려주세요
MI3_240802_TY2_0493_1_V02-4_1,2월 수출액(억 달러) 차트(꺾은선형)에 대해 알려주세요
MI3_240802_TY2_0565_1_V02-4_1,4월 수출액 변화 꺾은선형 차트에 대해 알려주세요
MI3_240802_TY2_0570_1_V02-1_1,케이(K)-트랙터 수출 현황에 대해 알려주세요
MI3_240805_TY2_0022_2_V02-8_1,금년 일강수량과 평년 누적강수량 혼합형 차트에 대해 알려주세요
MI3_240805_TY2_0076_3_V01_1,기온과 강수량 차트에 대해 알려주세요
MI3_240805_TY2_0093_2_V02-5_3,기온 편차 차트(영역형)에 대해 알려주세요
MI3_240805_TY2_0138_2_V01_1,월 일 평균기온 표에 대해 알려주세요
MI3_240805_TY2_0138_2_V01_2,최근 10년(2000 2009) 구분 표에 대해 알려주세요
MI3_240805_TY2_0160_2_V01_4,강수량 mm에 대해 알려주세요
MI3_240805_TY2_0178_2_V02-4_1,최근 봄철 평균기온(좌)과 강수량(우)의 차트(꺾은선형)에 대해 알려주세요
MI3_240805_TY2_0223_2_V02-8_1,연도별 평균기온과 변화 경향 혼합형에 대해 알려주세요
MI3_240805_TY2_0236_1_V02-8_2,최근 1개월 평균기온과 강수량 변화 혼합형 차트에 대해 알려주세요
MI3_240805_TY2_0257_1_V02-8_1,기상청의 기온 변화 그래프에 대해 알려주세요
MI3_240805_TY2_0280_1_V02-8_2,최근 1개월 평균기온과 강수량 혼합형에 대해 알려주세요
MI3_240805_TY2_0285_4_V02-8_1,평균기온 편차 차트(혼합형)에 대해 알려주세요
MI3_240805_TY2_0285_4_V02-8_2,강수량 차트(혼합형)에 대해 알려주세요
MI3_240805_TY2_0289_1_V03_1,오늘(7일) 오전 구름영상과 태풍 진로 모식도 다이어그램에 대해 알려주세요
MI3_240805_TY2_0299_1_V01_2,평균기온 강수량에 대해 알려주세요
MI3_240805_TY2_0329_6_V01_2,월별 실효습도 및 풍속 표에 대해 알려주세요
MI3_240805_TY2_0329_6_V01_4,월별 실효습도 및 풍속 표에 대해 알려주세요
MI3_240805_TY2_0329_6_V01_6,계절별 실효습도 및 풍속 표에 대해 알려주세요
MI3_240805_TY2_0366_2_V02-8_2,이번 지진에 대한 파형 분석 및 혼합형 차트에 대해 알려주세요
MI3_240805_TY2_0368_3_V01_1,확률예보 해석의 기준에 대한 표에 대해 알려주세요
MI3_240805_TY2_0368_5_V02-8_1,평균기온 기후 변화 추세 차트(혼합형)에 대해 알려주세요
MI3_240805_TY2_0389_4_V02-1_1,강수량 일변화(세로 막대형)에 대해 알려주세요
MI3_240805_TY2_0389_4_V02-8_1,최근 3개월 평균기온과 강수량의 일변화(혼합형)에 대해 알려주세요
MI3_240805_TY2_0389_5_V02-4_1,연도별(1973년~2017년) 전국 평균기온(8월~10월) 꺾은선형 차트에 대해 알려주세요
MI3_240805_TY2_0390_3_V01_1,이 데이터에서 제공하는 지점별 관측값과 관련된 시각적 자료에 대해 알려주세요.
MI3_240805_TY2_0390_4_L03_1,16- 차트(가로 막대형)에 대해 알려주세요
MI3_240805_TY2_0390_7_V01_1,185 고산 188 성산 192 진주 201 강화에 대해 알려주세요
MI3_240805_TY2_0390_9_V01_1,T01 T02 T03 차트(표) 에 대해 알려주세요
MI3_240805_TY2_0399_6_V01_2,11월 최심적설 순위 표에 대해 알려주세요
MI3_240805_TY2_0441_1_V01_1,정부혁신과 관련된 음량 수신 거부 기준 및 재난문자 분류에 대해 알려주세요
MI3_240805_TY2_0441_3_V01_1,0월0일 00:00 지진발생에 대해 알려주세요
MI3_240805_TY2_0444_1_V02-8_1,7월 평균기온 혼합형에 대해 알려주세요
MI3_240805_TY2_0448_2_V02-8_1,"<풍속과 기압(위), 수온과 염분(아래) 시계열> 혼합형에 대해 알려주세요"
MI3_240805_TY2_0448_2_V02-8_2,"<풍속과 기압(위), 수온과 염분(아래) 시계열> 혼합형에 대해 알려주세요"
MI3_240805_TY2_0502_1_V01_1,평균기온(최고) 표에 대해 알려주세요
